"Page Id","Block Name",Content
0,blog_archive_page,27
0,blog_category_page,25
0,blog_main_page,22
0,blog_search_page,26
0,copyright,Coaster
0,feature,4
0,features_lead_text,"At vero eos et accusamus et iusto odio"
0,features_title,"Why Us ?"
0,internal_banner,"O:8:""stdClass"":2:{s:4:""file"";s:38:""/uploads/images/coaster2017/banner.jpg"";s:5:""title"";s:0:"""";}"
0,logo,"O:8:""stdClass"":2:{s:4:""file"";s:36:""/uploads/images/coaster2017/logo.png"";s:5:""title"";s:0:"""";}"
0,meta_description,%page_name%
0,meta_title,"%page_name% | %site_name%"
0,scroll_to_top_text,"Back to top"
0,show_features,1
0,social,3
1,banner,2
1,carousel,1
1,lead_text,"Oomnis iste natus error sit voluptatem ipsa quae ab illo invent"
1,show_sub_pages,6
1,title,Locations
2,content,"<p>Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima ven</p>
<p>Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima ven</p>
<ul>
<li>Sed ut perspiciatis</li>
<li>Sed ut perspiciatis</li>
<li>Sed ut perspiciatis</li>
</ul>
<p>Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima ven</p>"
2,lead_text,"Nemo enim ipsam voluptatem quia voluptas sit aspernatur"
2,sidebar_content,"<p>Important sidebar stuff</p>
<p>Important sidebar stuff</p>
<p>Important sidebar stuff</p>"
2,sidebar_title,Sidebar
2,title,"Future thinking experts"
3,address,"123 Way, The City, 
Planet Earth"
3,contact_form,"O:8:""stdClass"":5:{s:10:""email_from"";s:0:"""";s:8:""email_to"";s:0:"""";s:8:""template"";i:0;s:7:""page_to"";s:1:""4"";s:7:""captcha"";b:1;}"
3,contact_form_text,"If you would like to email us please use the form below:"
3,content,"<p>Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem, sed quia consequuntur magni dolores eos quin</p>"
3,email,info@thiswebsite.internet
3,lead_text,"Nemo enim ipsam voluptatem quia voluptas sit aspernatur"
3,map_link,https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2511.879232160876!2d-1.383762737115256!3d50.98142284230224!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x48747369943f2f59%3A0xaec570fd56e4fd31!2sWeb+Feet+Ltd!5e0!3m2!1sen!2suk!4v1460459965879
3,phone,"123 456 789"
3,title,"Contact Us Template"
4,lead_text,"Thank you for contacting us, we will be in touch shortly."
4,title,"Thank You Template"
5,content,"<p>Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo.</p>"
5,lead_text,"Nemo enim ipsam voluptatem quia voluptas sit aspernatur"
5,team,5
5,title,"Meet the Team"
6,category_view,detailed
6,content,"<p>Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem, sed quia consequuntur magni dolores eos quin</p>"
6,lead_text,"Nemo enim ipsam voluptatem quia voluptas sit aspernatur"
6,title,Locations
7,category_view,detailed
7,title,"Products & Services"
8,content,"<p>Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem.</p>
<p></p>"
8,content_image,"O:8:""stdClass"":2:{s:4:""file"";s:46:""/uploads/images/coaster2017/content_image1.jpg"";s:5:""title"";s:0:"""";}"
8,lead_text,"Nemo enim ipsam voluptatem quia voluptas sit aspernatur"
8,sidebar_title,"Aside Content"
8,title,Mountains
8,video,q8kxKvSQ7MI
9,content,"<p>Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem.</p>"
9,content_image,"O:8:""stdClass"":2:{s:4:""file"";s:46:""/uploads/images/coaster2017/content_image2.jpg"";s:5:""title"";s:0:"""";}"
9,title,"The Wall"
10,content,"<p>Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem.</p>"
10,content_image,"O:8:""stdClass"":2:{s:4:""file"";s:36:""/uploads/images/coaster2017/cat1.jpg"";s:5:""title"";s:0:"""";}"
10,sidebar_content,"<ul>
<li>Large</li>
<li>Reflective</li>
</ul>"
10,sidebar_title,Features
10,title,"Nice Lake"
11,content,"<p>Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem.</p>"
11,content_image,"O:8:""stdClass"":2:{s:4:""file"";s:36:""/uploads/images/coaster2017/cat3.jpg"";s:5:""title"";s:0:"""";}"
11,title,"Patch of Trees"
12,category_view,home
