"Block Name","Block Label","Block Note","Block Category","Block Type","Global (show in site-wide)","Global (show in pages)",Templates,"Block Order"
title,Title,,"Main Content",string,no,no,"contact,home,internal,sitemap",60
content,Content,,"Main Content",richtext,no,no,"contact,home,internal",70
contact_form,Contact,,"Main Content",form,no,no,contact,80
contact_form_text,"Contact Form Text",,"Main Content",string,no,no,contact,75
carousel,Carousel,,Banner,repeater,no,no,home,60
image,Image,,"Main Content",image,no,no,internal,80
meta_title,"Meta Title",,"SEO Conent",string,yes,yes,"contact,home,internal,sitemap",20
meta_description,"Meta Description",,"SEO Conent",text,yes,yes,"contact,home,internal,sitemap",30
meta_keywords,"Meta Keywords",,"SEO Conent",text,yes,yes,"contact,home,internal,sitemap",40
header_html,"Header Html",,Header,text,yes,no,"contact,home,internal,sitemap",50
footer_left,"Footer Left",,Footer,string,yes,no,"contact,home,internal,sitemap",90
email,Email,,Footer,string,yes,no,"contact,home,internal,sitemap",110
phone,Phone,,Footer,string,yes,no,"contact,home,internal,sitemap",110
footer_html,"Footer Html",,Footer,text,yes,no,"contact,home,internal,sitemap",130
slide_image,"Slide Image",,"Main Content",image,no,no,,20
slide_title,"Slide Title",,"Main Content",string,no,no,,30
